target,K,method,seed,episode,f1,auc
elqui,1,dann,42,7,0.18181818181818182,0.9400000000000001
elqui,1,dann,42,8,0.47058823529411764,0.81
elqui,1,dann,42,9,0.5882352941176471,0.76
elqui,1,dann,42,10,0.5185185185185185,0.46
elqui,1,dann,42,11,0.8421052631578947,0.9400000000000001
elqui,1,dann,42,12,0.75,0.73
elqui,1,dann,42,13,0.7272727272727273,0.8500000000000001
elqui,1,dann,42,14,0.631578947368421,0.73
elqui,1,dann,42,15,0.7777777777777778,0.82
elqui,1,dann,42,16,0.8888888888888888,0.8900000000000001
elqui,1,dann,42,17,0.8181818181818182,0.7899999999999999
elqui,1,dann,42,18,0.8181818181818182,0.94
elqui,1,dann,42,19,0.8333333333333334,0.92
elqui,1,dann,42,20,0.46153846153846156,0.8200000000000001
elqui,1,dann,42,21,0.7619047619047619,0.9
elqui,1,dann,42,22,0.7692307692307693,0.5800000000000001
elqui,1,dann,42,23,0.5882352941176471,0.73
elqui,1,dann,42,24,0.2857142857142857,0.6200000000000001
elqui,1,dann,42,25,0.18181818181818182,0.89
elqui,1,dann,42,26,0.6666666666666666,0.8
elqui,1,dann,42,27,0.631578947368421,0.7000000000000001
elqui,1,dann,42,28,0.3076923076923077,0.6799999999999999
elqui,1,dann,42,29,0.18181818181818182,0.83
elqui,1,dann,42,30,0.75,0.76
elqui,1,dann,42,31,0.6206896551724138,0.63
elqui,1,dann,42,32,0.6666666666666666,0.715
elqui,1,dann,42,33,0.6086956521739131,0.74
elqui,1,dann,42,34,0.6363636363636364,0.73
elqui,1,dann,42,35,0.6666666666666666,0.8200000000000001
elqui,1,dann,42,36,0.5333333333333333,0.6
elqui,1,dann,42,37,0.625,0.67
elqui,1,dann,42,38,0.6666666666666666,0.91
elqui,1,dann,42,39,0.7,0.73
elqui,1,dann,42,40,0.7,0.82
elqui,1,dann,42,41,0.5333333333333333,0.775
elqui,1,dann,42,42,0.5454545454545454,0.67
elqui,1,dann,42,43,0.5882352941176471,0.6599999999999999
elqui,1,dann,42,44,0.782608695652174,0.73
elqui,1,dann,42,45,0.5555555555555556,0.74
elqui,1,dann,42,46,0.625,0.92
elqui,1,dann,42,47,0.5454545454545454,0.66
elqui,1,dann,42,48,0.6086956521739131,0.645
elqui,1,dann,42,49,0.5,0.56
elqui,5,dann,42,0,0.4444444444444444,0.63
elqui,5,dann,42,1,0.7368421052631579,0.89
elqui,5,dann,42,2,0.782608695652174,0.82
elqui,5,dann,42,3,0.5263157894736842,0.7050000000000001
elqui,5,dann,42,4,0.8,0.91
elqui,5,dann,42,5,0.631578947368421,0.84
elqui,5,dann,42,6,0.5555555555555556,0.8
elqui,5,dann,42,7,0.631578947368421,0.81
elqui,5,dann,42,8,0.75,0.835
elqui,5,dann,42,9,0.5882352941176471,0.78
elqui,5,dann,42,10,0.9,0.9900000000000001
elqui,5,dann,42,11,0.9523809523809523,1.0
elqui,5,dann,42,12,0.6956521739130435,0.89
elqui,5,dann,42,13,0.6666666666666666,0.88
elqui,5,dann,42,14,0.7777777777777778,0.85
elqui,5,dann,42,15,0.6,0.755
elqui,5,dann,42,16,0.9523809523809523,0.99
elqui,5,dann,42,17,0.7058823529411765,0.9
elqui,5,dann,42,18,0.625,0.9500000000000001
elqui,5,dann,42,19,0.7,0.86
elqui,5,dann,42,20,0.8,0.86
elqui,5,dann,42,21,0.6666666666666666,0.84
elqui,5,dann,42,22,0.5714285714285714,0.8200000000000001
elqui,5,dann,42,23,0.75,0.84
elqui,5,dann,42,24,0.7368421052631579,0.78
elqui,5,dann,42,25,0.7619047619047619,0.83
elqui,5,dann,42,26,0.8333333333333334,0.91
elqui,5,dann,42,27,0.6666666666666666,0.73
elqui,5,dann,42,28,0.6,0.72
elqui,5,dann,42,29,0.75,0.82
elqui,5,dann,42,30,0.7,0.825
elqui,5,dann,42,31,0.6666666666666666,0.86
elqui,5,dann,42,32,0.8571428571428571,0.92
elqui,5,dann,42,33,0.5555555555555556,0.6399999999999999
elqui,5,dann,42,34,0.8,0.89
elqui,5,dann,42,35,0.6666666666666666,0.79
elqui,5,dann,42,36,0.7368421052631579,0.8600000000000001
elqui,5,dann,42,37,0.75,0.9400000000000002
elqui,5,dann,42,38,0.6666666666666666,0.7600000000000001
elqui,5,dann,42,39,0.75,0.8300000000000001
elqui,5,dann,42,40,0.7,0.79
elqui,5,dann,42,41,0.8888888888888888,0.97
elqui,5,dann,42,42,0.7368421052631579,0.8200000000000001
elqui,5,dann,42,43,0.6,0.72
elqui,5,dann,42,44,0.7407407407407407,0.85
elqui,5,dann,42,45,0.7368421052631579,0.8
elqui,5,dann,42,46,0.631578947368421,0.8200000000000001
elqui,5,dann,42,47,0.7777777777777778,0.8099999999999999
elqui,5,dann,42,48,0.8888888888888888,0.9200000000000002
elqui,5,dann,42,49,0.8235294117647058,0.99
elqui,10,dann,42,0,0.8571428571428571,0.9299999999999999
elqui,10,dann,42,1,0.75,0.96
elqui,10,dann,42,2,0.782608695652174,0.86
elqui,10,dann,42,3,0.9523809523809523,1.0
elqui,10,dann,42,4,0.6666666666666666,0.8099999999999999
elqui,10,dann,42,5,0.7368421052631579,0.88
elqui,10,dann,42,6,0.6666666666666666,0.68
elqui,10,dann,42,7,0.72,0.84
elqui,10,dann,42,8,0.5882352941176471,0.89
elqui,10,dann,42,9,0.7058823529411765,0.9400000000000001
elqui,10,dann,42,10,0.8,0.96
elqui,10,dann,42,11,0.75,0.98
elqui,10,dann,42,12,0.5882352941176471,0.74
elqui,10,dann,42,13,0.8,0.8400000000000001
elqui,10,dann,42,14,0.8571428571428571,0.96
elqui,10,dann,42,15,0.7,0.81
elqui,10,dann,42,16,0.9090909090909091,0.98
elqui,10,dann,42,17,0.8,0.8900000000000001
elqui,10,dann,42,18,0.7058823529411765,0.9400000000000001
elqui,10,dann,42,19,0.8181818181818182,0.86
elqui,10,dann,42,20,0.625,0.88
elqui,10,dann,42,21,0.8,0.765
elqui,10,dann,42,22,0.7692307692307693,0.9
elqui,10,dann,42,23,0.6666666666666666,0.98
elqui,10,dann,42,24,0.7777777777777778,0.94
elqui,10,dann,42,25,0.8421052631578947,0.89
elqui,10,dann,42,26,0.8421052631578947,0.9499999999999998
elqui,10,dann,42,27,0.8695652173913043,1.0
elqui,10,dann,42,28,0.9,0.95
elqui,10,dann,42,29,0.7,0.86
elqui,10,dann,42,30,0.75,0.8400000000000001
elqui,10,dann,42,31,0.7777777777777778,0.86
elqui,10,dann,42,32,0.8333333333333334,0.825
elqui,10,dann,42,33,0.7058823529411765,0.815
elqui,10,dann,42,34,0.9523809523809523,0.93
elqui,10,dann,42,35,0.8571428571428571,0.915
elqui,10,dann,42,36,0.7058823529411765,0.8200000000000001
elqui,10,dann,42,37,0.8235294117647058,0.78
elqui,10,dann,42,38,0.5454545454545454,0.585
elqui,10,dann,42,39,0.75,0.8700000000000001
elqui,10,dann,42,40,0.7619047619047619,0.8099999999999999
elqui,10,dann,42,41,0.8235294117647058,0.97
elqui,10,dann,42,42,0.6,0.72
elqui,10,dann,42,43,0.7619047619047619,0.93
elqui,10,dann,42,44,0.8421052631578947,0.9
elqui,10,dann,42,45,0.782608695652174,0.8400000000000001
elqui,10,dann,42,46,0.8695652173913043,0.91
